Student_ID,Age,Gender,Field_of_Study,Skill_Level,IoT_Attendance_Rate,IoT_Practical_Score,IoT_Focus_Level,IoT_Engagement_Score,Employment_Preference,Match_Score,Confidence_Level
S0001,24,Female,Business,79,68.00252329504892,49.26953224029555,0.7419777295139859,0.274212889124147,Business Analyst,0.07198081846332172,0.7931040830952545
S0002,21,Other,Business,77,97.8399907742143,69.23592124600304,0.6777232412013204,0.02660836607768413,Technician,0.25668059165026347,0.8821278370120706
S0003,28,Female,Design,72,75.02005728551006,65.79911284726359,0.252314736135153,0.7352285181015961,Technician,0.713900933396598,0.9965770517950803
S0004,25,Female,IT,67,71.63645680098523,75.81464143279936,0.8730431470152034,0.6256499129414531,IT Support,0.4800185098446209,0.8791513086052593
S0005,22,Female,Design,40,72.8849802579647,99.97346219502631,0.168858463370395,0.5807559990556591,Designer,0.4023935648144301,0.8968162071277905
S0006,24,Other,Healthcare,94,60.444136200258185,86.16693364492284,0.05363479152083084,0.7416841289918231,Data Analyst,0.1514576224004145,0.8082304391143987
S0007,27,Other,Engineering,47,68.43535854323976,63.87194218104563,0.7174649906119122,0.6752308375620375,IT Support,0.4418490344777326,0.9929613294850088
S0008,20,Male,Healthcare,76,68.49066279935883,89.65318313644282,0.4754757152327337,0.20588198817832115,IT Support,0.7706919707602339,0.8199781925572852
S0009,24,Other,Business,71,52.61775100937362,50.24250179874881,0.8490980199586761,0.35248104694335114,IT Support,0.264012846071893,0.9301266431998522
S0010,28,Other,Design,99,88.37838142589591,41.827821178537604,0.38339714105825895,0.126110141678625,IT Support,0.005398542183677413,0.9728923231204778
S0011,28,Other,Design,87,70.82522159519395,52.26690234785639,0.16827858850771282,0.12985701341788103,Technician,0.6685049011509828,0.9649292502502804
S0012,25,Other,Design,82,91.10899434082117,60.42469336685558,0.8364421924698697,0.6761957463565392,Data Analyst,0.9726266044325526,0.6907076718916783
S0013,22,Male,Healthcare,76,92.51740005599477,70.6348454475736,0.5489096316400717,0.8586001069824982,IT Support,0.6068265635885829,0.5393310291571294
S0014,21,Other,Business,43,60.599702734932904,76.90774843247199,0.1891957923903549,0.962732583861139,Technician,0.11992185892713014,0.5859368512696235
S0015,25,Female,Engineering,69,82.86767410850644,94.63634303286531,0.7203839985864458,0.6283471175494444,IT Support,0.32073309234467307,0.5296116526983037
S0016,25,Female,Engineering,45,73.6140902081491,70.59124057302746,0.5111136384895005,0.18410132336095697,Nurse,0.8676416147202234,0.5526984674145701
S0017,20,Other,Healthcare,85,94.00783689607425,70.07653867754377,0.6043129822403198,0.1056503454489307,IT Support,0.23256807425682857,0.5923256229468488
S0018,23,Other,Design,93,60.787033958822704,43.01458058937893,0.4608983382065819,0.8128509715367578,Designer,0.607695903497608,0.6705471582937008
S0019,22,Female,IT,58,83.89066001550222,42.09469315937343,0.8287089838180064,0.5787564763599993,Designer,0.4026712082539978,0.7717698232875378
S0020,19,Female,Healthcare,71,80.38760611263612,73.06959771498232,0.8295627156830498,0.6182850210137198,IT Support,0.20784372141964902,0.8558410296775429
S0021,25,Male,Healthcare,48,64.76507387859164,66.29071679490067,0.7093888218243862,0.7814620887547092,Business Analyst,0.8134068935646797,0.6054636680532559
S0022,29,Female,Business,51,56.83004518255863,90.35082369881792,0.10540137739646227,0.7032772277324516,Nurse,0.7428312764656902,0.8362612021190696
S0023,23,Female,Engineering,50,82.58198802386383,49.64077508271071,0.8388538619040689,0.8344582528560966,Data Analyst,0.6615910659592654,0.8521295372512099
